Date,City,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,Rainfall,AQI,AQI_Category
2024-01-27,Delhi,254.2,513.9,121.3,16.2,5.29,18.0,29.4,28.1,5.3,0.0,500,Severe
2024-01-28,Delhi,242.1,490.3,133.8,15.4,5.42,15.8,28.1,29.0,4.2,0.0,486,Severe
2024-01-29,Delhi,244.4,472.9,133.7,18.4,5.24,20.1,30.0,33.2,3.6,0.0,461,Severe
2024-01-30,Delhi,254.0,447.3,128.7,16.0,5.07,13.9,28.2,28.9,7.5,0.0,425,Severe
2024-01-31,Delhi,277.0,499.1,136.1,17.4,5.39,14.5,28.4,33.0,3.7,0.0,499,Severe
2024-02-01,Delhi,238.3,460.6,133.6,15.6,5.15,12.9,26.7,30.5,4.0,0.0,444,Severe
2024-02-02,Delhi,249.7,429.7,124.3,15.4,5.19,16.0,28.1,27.6,4.5,0.0,400,Very Poor
2024-02-03,Delhi,243.7,452.3,130.6,15.2,5.24,24.4,29.7,34.4,5.2,0.0,432,Severe
2024-02-04,Delhi,232.2,452.1,125.7,16.6,4.91,12.5,27.1,32.2,6.9,0.0,432,Severe
2024-02-05,Delhi,245.9,446.4,134.2,15.2,4.85,10.2,27.7,37.5,7.5,0.0,423,Severe
2024-02-06,Delhi,248.0,471.5,138.7,17.8,5.13,1.8,23.6,27.7,4.1,12.9,459,Severe
2024-02-07,Delhi,242.4,416.7,112.7,18.4,4.8,19.3,27.2,23.8,9.4,6.0,394,Very Poor
2024-02-08,Delhi,240.0,439.7,129.5,14.8,5.05,7.4,23.8,27.5,5.8,0.0,414,Severe
2024-02-09,Delhi,250.7,445.9,137.4,16.5,5.39,12.0,26.7,34.1,3.6,0.0,423,Severe
2024-02-10,Delhi,252.0,466.5,133.0,14.9,5.17,20.1,28.8,39.4,5.4,0.0,452,Severe
2024-02-11,Delhi,270.3,474.5,140.3,14.3,5.07,4.8,22.8,24.9,1.8,0.0,464,Severe
2024-02-12,Delhi,249.3,480.2,128.4,15.6,5.15,9.8,25.8,30.7,1.8,0.0,472,Severe
2024-02-13,Delhi,225.2,417.5,122.3,14.8,4.83,5.4,26.4,26.1,7.0,0.0,384,Very Poor
2024-02-14,Delhi,242.0,447.8,125.7,17.2,5.18,10.7,27.6,31.3,4.7,0.0,425,Severe
2024-02-15,Delhi,270.3,463.4,134.6,16.8,5.72,11.9,23.6,29.9,1.6,0.0,448,Severe
2024-02-16,Delhi,246.2,443.1,124.1,18.8,5.29,7.1,24.0,26.6,3.0,0.0,419,Severe
2024-02-17,Delhi,224.4,442.8,121.9,14.2,5.17,20.2,26.1,31.9,4.6,0.0,418,Severe
2024-02-18,Delhi,229.0,444.0,120.8,16.7,4.97,2.3,21.5,34.5,5.0,0.0,420,Severe
2024-02-19,Delhi,226.1,441.2,111.5,17.1,4.66,6.4,22.0,29.0,7.9,0.0,416,Severe
2024-02-20,Delhi,240.4,466.8,119.5,16.1,4.9,1.0,22.0,23.0,3.2,0.0,453,Severe
2024-02-21,Delhi,243.3,420.0,125.8,14.5,4.96,12.4,22.9,27.9,5.8,0.0,395,Very Poor
2024-02-22,Delhi,220.4,428.7,115.4,16.3,4.7,9.4,18.9,28.4,7.8,0.0,398,Very Poor
2024-02-23,Delhi,233.6,420.1,122.3,19.3,4.97,3.1,22.7,34.2,5.8,0.0,388,Very Poor
2024-02-24,Delhi,225.4,448.9,133.7,16.6,5.01,11.0,23.9,30.7,2.7,0.0,427,Severe
2024-02-25,Delhi,199.8,438.9,117.3,15.5,4.72,14.8,18.5,34.1,8.3,0.0,413,Severe
2024-02-26,Delhi,214.8,426.4,117.3,16.8,4.83,8.6,21.9,34.4,5.9,0.0,395,Very Poor
2024-02-27,Delhi,237.5,406.8,124.6,18.1,4.89,12.9,20.6,32.0,5.0,0.0,390,Very Poor
2024-02-28,Delhi,251.0,443.3,117.7,19.8,4.93,4.1,19.9,27.4,3.4,0.0,419,Severe
2024-02-29,Delhi,109.6,193.5,52.5,15.3,1.67,2.8,21.9,36.2,7.5,0.0,265,Poor
2024-03-01,Delhi,109.9,145.9,40.4,17.3,1.93,1.0,20.7,39.5,3.7,0.0,266,Poor
2024-03-02,Delhi,78.6,147.4,31.2,16.0,1.7,7.0,18.4,32.6,10.5,0.0,162,Moderate
2024-03-03,Delhi,72.5,224.8,46.1,16.0,1.83,5.8,22.9,40.2,6.7,0.0,183,Moderate
2024-03-04,Delhi,78.2,166.8,45.0,18.3,1.47,8.9,19.7,31.9,6.2,0.0,161,Moderate
2024-03-05,Delhi,81.9,129.3,42.4,14.3,2.09,8.3,21.5,24.7,6.7,0.0,173,Moderate
2024-03-06,Delhi,81.9,178.4,41.4,17.0,1.84,1.5,21.3,38.9,5.2,0.0,173,Moderate
2024-03-07,Delhi,101.3,177.1,44.4,16.4,1.65,8.0,20.2,37.8,6.8,0.0,238,Poor
2024-03-08,Delhi,63.0,170.5,38.1,18.6,1.45,12.0,18.6,33.2,9.7,0.0,147,Moderate
2024-03-09,Delhi,91.9,166.1,46.6,15.4,1.83,5.0,19.0,35.6,6.6,0.0,206,Poor
2024-03-10,Delhi,83.7,165.4,41.7,14.7,1.8,1.0,15.9,29.7,9.2,0.0,179,Moderate
2024-03-11,Delhi,88.6,161.7,48.2,18.4,1.9,1.0,18.8,28.2,9.9,0.0,195,Moderate
2024-03-12,Delhi,87.5,142.0,42.3,13.7,1.67,1.0,16.1,33.9,7.9,0.0,192,Moderate
2024-03-13,Delhi,121.0,144.1,49.5,14.9,1.87,16.1,16.3,42.6,6.0,0.0,301,Very Poor
2024-03-14,Delhi,86.3,205.8,43.1,18.5,1.94,1.0,17.4,43.3,6.6,0.0,188,Moderate
2024-03-15,Delhi,63.3,155.0,46.9,16.0,1.57,5.2,18.3,42.8,9.3,0.0,137,Moderate
2024-03-16,Delhi,81.2,114.6,45.4,16.1,1.78,1.0,18.0,41.0,10.3,0.0,171,Moderate
2024-03-17,Delhi,93.5,182.2,42.6,15.9,1.73,1.1,15.3,43.8,8.1,0.0,212,Poor
2024-03-18,Delhi,83.5,151.0,52.0,16.0,1.97,1.0,16.2,40.0,7.3,0.0,178,Moderate
2024-03-19,Delhi,97.9,146.3,51.0,19.1,1.73,1.1,16.8,43.6,8.5,4.8,226,Poor
2024-03-20,Delhi,68.6,139.4,40.9,14.5,1.81,4.4,18.4,47.4,7.4,0.0,129,Moderate
2024-03-21,Delhi,79.1,127.1,45.1,15.9,1.8,4.9,18.4,34.9,10.5,1.9,164,Moderate
2024-03-22,Delhi,77.5,189.7,51.7,14.8,1.69,5.8,19.5,37.0,7.5,0.0,160,Moderate
2024-03-23,Delhi,64.3,142.8,42.6,16.0,1.82,6.6,14.8,43.7,9.0,0.0,129,Moderate
2024-03-24,Delhi,85.7,205.2,43.3,15.9,1.82,9.3,18.4,40.0,7.1,0.0,186,Moderate
2024-03-25,Delhi,98.6,174.5,43.5,16.4,1.97,7.5,19.0,38.6,7.8,0.0,229,Poor
2024-03-26,Delhi,78.8,155.9,48.3,14.3,1.77,1.3,15.8,47.0,11.2,0.0,163,Moderate
2024-03-27,Delhi,84.0,172.4,53.9,15.0,1.8,4.5,14.9,48.4,9.3,0.0,180,Moderate
2024-03-28,Delhi,77.4,161.0,48.8,13.9,1.78,1.0,17.0,41.9,9.5,0.0,158,Moderate
2024-03-29,Delhi,89.9,197.8,44.8,14.6,2.07,1.0,16.3,35.1,7.9,0.0,200,Moderate
2024-03-30,Delhi,88.0,146.2,39.2,16.7,1.89,2.8,11.0,45.3,8.1,0.0,193,Moderate
2024-03-31,Delhi,78.6,158.7,47.9,13.5,2.06,3.0,16.9,38.2,6.1,1.6,162,Moderate
2024-04-01,Delhi,90.5,186.7,44.4,16.4,1.73,10.5,15.6,45.6,10.1,0.0,202,Poor
2024-04-02,Delhi,65.2,177.2,41.2,14.7,1.49,1.0,12.7,53.3,9.2,0.0,151,Moderate
2024-04-03,Delhi,69.0,151.9,43.0,13.6,1.94,7.8,9.9,36.7,10.9,0.0,135,Moderate
2024-04-04,Delhi,56.6,131.5,42.5,18.0,1.84,1.0,13.1,45.2,9.8,0.0,121,Moderate
2024-04-05,Delhi,81.5,136.4,45.9,15.9,1.84,6.3,14.1,52.5,11.3,0.0,172,Moderate
2024-04-06,Delhi,82.2,191.6,43.1,14.3,1.62,1.7,14.7,43.2,12.2,0.0,174,Moderate
2024-04-07,Delhi,106.4,169.3,44.9,15.4,1.88,1.0,13.6,48.9,8.5,0.0,255,Poor
2024-04-08,Delhi,90.1,124.6,36.7,15.5,1.88,11.8,12.4,38.3,10.5,0.0,200,Moderate
2024-04-09,Delhi,91.2,118.2,50.5,17.2,1.66,5.1,12.0,52.5,9.7,0.0,204,Poor
2024-04-10,Delhi,75.5,157.7,49.8,16.0,1.73,7.1,13.2,48.8,8.7,0.6,152,Moderate
2024-04-11,Delhi,70.5,191.7,44.0,15.6,1.84,5.5,8.1,53.6,6.4,0.0,161,Moderate
2024-04-12,Delhi,73.7,186.6,46.2,14.6,1.64,1.7,12.3,41.9,11.9,0.0,158,Moderate
2024-04-13,Delhi,78.1,148.4,42.8,15.0,1.83,3.4,15.2,50.6,10.9,0.0,160,Moderate
2024-04-14,Delhi,56.7,176.7,45.1,16.5,1.32,13.7,13.1,48.7,10.2,0.0,151,Moderate
2024-04-15,Delhi,77.0,205.9,44.1,15.3,1.92,5.6,11.6,55.1,8.0,0.0,171,Moderate
2024-04-16,Delhi,75.4,169.8,45.6,15.9,1.45,11.3,11.9,51.8,15.0,0.0,151,Moderate
2024-04-17,Delhi,83.3,166.2,46.0,15.6,2.01,5.4,9.9,51.9,8.7,0.1,178,Moderate
2024-04-18,Delhi,63.4,141.7,48.0,14.7,1.69,2.2,11.1,55.6,12.7,0.0,128,Moderate
2024-04-19,Delhi,73.1,109.6,42.5,12.9,2.05,8.3,11.4,45.8,7.5,0.0,144,Moderate
2024-04-20,Delhi,75.3,116.2,34.7,16.4,2.03,9.9,10.2,62.9,12.4,0.0,151,Moderate
2024-04-21,Delhi,89.4,156.8,42.7,14.8,1.58,1.7,12.0,55.1,12.2,0.1,198,Moderate
2024-04-22,Delhi,70.3,180.8,37.6,13.3,1.92,1.0,8.5,52.0,8.5,0.0,154,Moderate
2024-04-23,Delhi,76.5,166.2,37.4,15.5,1.78,5.9,10.6,55.7,8.6,0.0,155,Moderate
2024-04-24,Delhi,75.9,154.3,43.3,13.7,1.63,1.0,11.2,60.2,10.9,2.8,153,Moderate
2024-04-25,Delhi,79.6,186.9,41.1,15.2,1.65,14.0,13.4,47.6,9.3,0.0,165,Moderate
2024-04-26,Delhi,85.2,151.5,41.7,16.2,2.01,1.0,8.9,55.8,12.0,0.0,184,Moderate
2024-04-27,Delhi,64.7,180.3,47.2,13.9,1.67,11.3,8.6,54.2,15.9,0.4,154,Moderate
2024-04-28,Delhi,70.0,156.9,40.4,15.0,1.53,4.8,10.0,54.1,9.6,0.0,138,Moderate
2024-04-29,Delhi,101.7,161.4,39.4,14.6,1.78,3.7,11.7,45.6,11.6,0.0,239,Poor
2024-04-30,Delhi,62.8,134.6,48.4,16.3,1.8,1.0,11.2,51.4,11.2,0.0,123,Moderate
2024-05-01,Delhi,83.3,144.8,43.4,14.4,1.81,7.8,9.9,62.5,11.2,0.0,178,Moderate
2024-05-02,Delhi,92.3,170.9,56.7,14.6,1.94,3.6,9.1,50.2,7.3,0.0,208,Poor
2024-05-03,Delhi,73.3,177.9,42.5,13.4,1.81,1.0,10.1,61.9,10.5,0.0,152,Moderate
2024-05-04,Delhi,84.3,146.8,45.1,16.6,1.74,3.1,10.3,57.6,13.3,0.0,181,Moderate
2024-05-05,Delhi,82.5,166.7,43.0,15.2,1.74,1.0,8.2,52.8,10.5,0.0,175,Moderate
2024-05-06,Delhi,91.7,153.1,51.2,14.7,1.73,1.0,8.7,57.8,8.8,0.0,206,Poor
2024-05-07,Delhi,86.0,180.0,46.9,12.2,1.34,7.8,9.7,57.0,11.6,0.0,187,Moderate
2024-05-08,Delhi,60.9,144.0,32.7,13.6,1.83,1.0,8.0,58.3,8.9,0.0,129,Moderate
2024-05-09,Delhi,94.6,145.5,41.9,13.0,1.62,1.0,10.3,59.7,12.5,0.0,215,Poor
2024-05-10,Delhi,63.7,142.5,49.3,13.5,2.05,6.3,9.8,68.8,8.6,0.0,128,Moderate
2024-05-11,Delhi,98.8,192.3,43.7,13.2,1.81,1.0,9.3,71.4,10.2,0.0,229,Poor
2024-05-12,Delhi,83.9,121.2,38.8,16.1,1.63,1.0,13.0,61.8,10.7,0.0,180,Moderate
2024-05-13,Delhi,91.5,130.1,35.3,16.6,1.62,1.7,10.8,67.4,12.9,0.0,205,Poor
2024-05-14,Delhi,107.0,134.0,46.2,14.4,1.72,10.6,12.0,64.7,12.4,0.0,257,Poor
2024-05-15,Delhi,64.5,99.2,50.4,12.6,1.62,1.6,10.8,65.0,13.7,0.0,115,Moderate
2024-05-16,Delhi,70.9,143.4,42.7,13.9,1.89,5.4,10.5,66.8,13.3,0.0,136,Moderate
2024-05-17,Delhi,82.5,130.2,38.6,15.1,1.82,3.0,11.1,66.4,13.9,0.0,175,Moderate
2024-05-18,Delhi,113.0,168.3,44.0,16.1,1.79,2.2,10.5,72.1,12.1,0.0,277,Poor
2024-05-19,Delhi,103.8,164.8,38.3,14.8,1.92,1.0,8.2,62.9,9.9,0.0,246,Poor
2024-05-20,Delhi,90.6,133.7,41.6,15.2,1.69,11.6,9.9,64.4,10.1,1.4,202,Poor
2024-05-21,Delhi,58.5,177.0,38.8,18.0,1.57,3.9,9.5,65.9,13.6,0.0,151,Moderate
2024-05-22,Delhi,90.4,159.9,37.2,12.9,1.59,1.9,12.5,75.2,15.8,0.0,201,Poor
2024-05-23,Delhi,63.2,141.8,38.0,11.3,1.64,2.3,9.5,69.0,13.7,0.0,128,Moderate
2024-05-24,Delhi,106.5,150.4,39.5,13.5,1.91,12.3,12.5,69.1,9.7,0.0,255,Poor
2024-05-25,Delhi,84.8,113.8,45.4,13.8,1.69,1.0,12.6,63.9,9.5,0.0,183,Moderate
2024-05-26,Delhi,46.5,155.8,52.0,16.5,1.69,1.0,11.1,64.0,9.5,0.0,137,Moderate
2024-05-27,Delhi,78.1,144.5,38.1,12.8,1.65,4.8,11.1,62.1,12.4,0.0,160,Moderate
2024-05-28,Delhi,72.8,85.4,44.4,15.1,1.57,3.3,11.8,63.4,14.8,0.0,143,Moderate
2024-05-29,Delhi,91.5,123.2,44.4,11.9,1.79,2.9,11.3,60.0,10.8,0.0,205,Poor
2024-05-30,Delhi,71.6,129.8,43.6,14.6,1.83,3.7,8.1,74.0,10.4,0.0,139,Moderate
2024-05-31,Delhi,52.0,109.0,13.9,12.4,1.07,13.3,10.1,64.4,12.1,11.9,106,Moderate
2024-06-01,Delhi,63.9,71.7,20.9,13.2,0.84,3.6,10.7,65.3,11.5,0.0,113,Moderate
2024-06-02,Delhi,39.8,44.3,27.0,13.8,0.89,18.8,13.2,70.9,11.4,32.7,66,Satisfactory
2024-06-03,Delhi,61.0,90.0,18.1,15.3,0.89,12.3,11.3,65.8,11.1,52.1,103,Moderate
2024-06-04,Delhi,49.1,60.5,19.8,15.4,0.86,1.0,12.6,67.7,14.5,13.4,82,Satisfactory
2024-06-05,Delhi,25.9,75.0,27.3,13.7,0.9,1.0,9.6,72.4,16.1,0.0,75,Satisfactory
2024-06-06,Delhi,57.5,141.9,25.0,14.3,0.92,1.1,11.8,69.7,13.9,0.0,128,Moderate
2024-06-07,Delhi,60.4,113.7,22.5,10.6,0.84,9.4,11.8,69.5,12.3,7.7,109,Moderate
2024-06-08,Delhi,43.2,78.2,22.7,12.4,1.21,1.3,11.3,66.3,11.0,28.2,78,Satisfactory
2024-06-09,Delhi,32.0,48.9,21.3,12.0,0.97,1.0,13.3,79.2,14.0,60.0,53,Satisfactory
2024-06-10,Delhi,53.3,47.0,22.9,16.7,0.75,1.0,11.9,73.4,11.5,0.0,89,Satisfactory
2024-06-11,Delhi,47.7,87.8,20.9,14.8,1.15,2.2,12.5,73.2,12.7,18.4,88,Satisfactory
2024-06-12,Delhi,32.7,72.2,22.4,14.0,0.94,1.0,10.4,78.1,11.8,9.2,72,Satisfactory
2024-06-13,Delhi,49.6,56.1,27.0,12.9,1.0,4.7,12.7,71.6,13.5,0.0,83,Satisfactory
2024-06-14,Delhi,53.2,42.1,18.0,12.1,1.05,11.4,14.8,72.0,11.3,0.0,89,Satisfactory
2024-06-15,Delhi,56.9,57.0,23.4,15.2,0.96,3.8,12.1,72.6,12.1,0.0,95,Satisfactory
2024-06-16,Delhi,54.1,122.5,24.6,15.1,1.24,9.6,13.9,60.2,13.4,0.0,115,Moderate
2024-06-17,Delhi,19.0,126.3,20.1,13.9,0.91,3.0,15.0,77.7,12.1,0.0,118,Moderate
2024-06-18,Delhi,34.9,79.4,20.7,12.6,0.7,2.4,15.2,71.2,12.4,0.0,79,Satisfactory
2024-06-19,Delhi,20.5,66.2,17.3,14.1,1.02,1.0,10.5,78.4,12.1,0.0,66,Satisfactory
2024-06-20,Delhi,36.5,57.3,26.3,13.7,1.13,2.5,13.1,74.0,13.3,0.0,61,Satisfactory
2024-06-21,Delhi,27.2,51.3,29.1,12.9,1.03,11.0,12.0,67.5,8.4,20.8,51,Satisfactory
2024-06-22,Delhi,40.0,56.6,22.0,13.7,0.87,1.0,14.6,74.0,10.2,8.9,67,Satisfactory
2024-06-23,Delhi,58.9,94.0,22.7,15.0,0.91,1.0,13.7,77.8,9.8,2.2,98,Satisfactory
2024-06-24,Delhi,41.7,36.5,20.5,13.7,0.94,1.0,14.1,70.1,12.1,0.0,70,Satisfactory
2024-06-25,Delhi,46.8,49.2,26.0,15.1,0.78,9.8,15.7,71.7,13.9,10.4,78,Satisfactory
2024-06-26,Delhi,49.4,31.9,26.7,11.1,0.98,8.4,13.6,77.7,12.4,10.5,82,Satisfactory
2024-06-27,Delhi,40.0,111.9,28.9,12.7,0.88,1.0,12.5,74.5,9.7,8.4,108,Moderate
2024-06-28,Delhi,35.3,73.9,15.2,14.2,0.69,2.6,13.1,81.6,15.1,0.0,74,Satisfactory
2024-06-29,Delhi,39.2,70.2,28.7,14.4,0.82,6.3,15.3,77.0,11.0,0.0,70,Satisfactory
2024-06-30,Delhi,35.1,79.4,12.2,11.9,0.6,3.4,14.1,83.0,12.6,7.1,79,Satisfactory
2024-07-01,Delhi,39.7,43.9,14.9,13.3,0.64,1.0,17.4,88.5,13.1,7.4,66,Satisfactory
2024-07-02,Delhi,10.0,72.6,27.3,16.5,0.72,5.3,16.1,72.2,12.3,16.8,73,Satisfactory
2024-07-03,Delhi,17.4,75.0,21.5,15.2,0.79,4.3,14.5,77.2,17.1,0.0,75,Satisfactory
2024-07-04,Delhi,44.1,73.3,25.9,13.5,0.58,9.0,14.8,79.2,11.1,0.0,74,Satisfactory
2024-07-05,Delhi,59.5,104.4,23.3,13.4,0.93,5.4,14.3,74.8,10.5,12.2,103,Moderate
2024-07-06,Delhi,35.4,98.6,22.7,9.1,0.9,3.7,16.8,81.0,11.9,0.0,99,Satisfactory
2024-07-07,Delhi,51.1,50.0,14.4,12.6,0.95,7.5,16.0,76.4,13.9,4.2,85,Satisfactory
2024-07-08,Delhi,47.0,87.4,24.9,14.6,0.83,8.0,17.0,82.2,12.7,4.3,87,Satisfactory
2024-07-09,Delhi,32.3,59.7,20.7,10.7,0.92,2.8,16.4,74.3,11.3,3.0,60,Satisfactory
2024-07-10,Delhi,15.9,50.2,15.8,12.1,0.89,1.7,15.4,82.1,13.5,0.0,50,Good
2024-07-11,Delhi,27.7,114.6,17.2,9.0,0.95,11.9,16.5,68.9,12.8,15.9,110,Moderate
2024-07-12,Delhi,45.3,85.9,25.5,17.6,0.89,1.0,19.0,80.1,10.5,0.0,86,Satisfactory
2024-07-13,Delhi,39.5,64.4,28.7,13.5,0.95,1.2,17.3,70.3,10.1,2.8,66,Satisfactory
2024-07-14,Delhi,20.8,51.7,17.9,14.8,0.84,3.6,17.8,83.4,9.7,0.0,52,Satisfactory
2024-07-15,Delhi,37.6,14.7,20.0,15.6,0.96,7.6,19.0,78.7,12.2,0.0,63,Satisfactory
2024-07-16,Delhi,46.4,101.4,19.8,12.8,0.82,5.7,19.8,79.9,11.8,0.0,101,Moderate
2024-07-17,Delhi,30.2,75.3,30.8,14.0,1.01,6.0,16.1,68.1,10.2,0.0,75,Satisfactory
2024-07-18,Delhi,16.5,88.0,20.9,12.1,0.64,8.3,16.7,84.8,11.1,0.0,88,Satisfactory
2024-07-19,Delhi,43.8,54.0,18.1,13.6,0.61,6.3,16.9,87.9,9.5,7.1,73,Satisfactory
2024-07-20,Delhi,71.6,95.6,21.5,13.1,0.87,5.5,18.1,78.6,9.2,9.8,139,Moderate
2024-07-21,Delhi,44.4,82.4,21.3,13.0,0.66,3.1,17.4,85.4,12.6,58.0,82,Satisfactory
2024-07-22,Delhi,46.3,84.4,24.2,13.9,0.9,10.3,21.7,73.7,8.2,0.0,84,Satisfactory
2024-07-23,Delhi,20.3,78.2,22.9,11.6,0.79,1.0,17.2,75.8,10.9,11.6,78,Satisfactory
2024-07-24,Delhi,41.3,93.2,25.6,12.0,0.62,1.0,19.4,86.3,12.2,4.4,93,Satisfactory
2024-07-25,Delhi,35.6,48.8,28.8,11.1,0.8,12.8,19.8,82.3,13.0,3.0,59,Satisfactory
2024-07-26,Delhi,11.7,112.0,14.7,13.1,0.78,5.7,20.4,79.0,10.2,11.2,108,Moderate
2024-07-27,Delhi,18.0,76.9,18.8,12.6,0.82,11.7,18.2,82.3,15.0,0.0,77,Satisfactory
2024-07-28,Delhi,57.6,81.3,19.1,13.5,0.64,5.7,20.6,83.6,8.3,4.7,96,Satisfactory
2024-07-29,Delhi,44.3,127.3,20.5,13.0,0.77,7.1,22.4,77.7,9.9,2.4,118,Moderate
2024-07-30,Delhi,15.4,97.9,17.6,14.7,0.55,7.2,21.1,76.7,13.4,0.0,98,Satisfactory
2024-07-31,Delhi,25.0,60.3,22.8,13.7,0.87,12.5,19.8,83.6,10.7,0.0,60,Satisfactory
2024-08-01,Delhi,32.4,87.6,17.8,15.8,0.53,2.5,19.5,88.0,10.9,0.0,88,Satisfactory
2024-08-02,Delhi,31.9,7.6,20.6,14.2,0.85,8.9,20.2,81.7,12.4,0.0,53,Satisfactory
2024-08-03,Delhi,13.4,75.6,16.8,13.5,0.81,1.0,20.8,83.3,12.9,0.0,76,Satisfactory
2024-08-04,Delhi,26.8,92.7,16.3,14.6,0.93,1.0,21.6,80.0,8.3,0.0,93,Satisfactory
2024-08-05,Delhi,47.3,64.3,17.1,15.7,1.04,7.5,21.9,85.7,8.5,5.0,79,Satisfactory
2024-08-06,Delhi,49.4,96.0,15.9,15.2,0.76,2.6,23.3,75.7,8.7,15.1,96,Satisfactory
2024-08-07,Delhi,37.8,79.5,14.9,16.3,0.69,7.3,23.8,89.6,16.6,0.0,80,Satisfactory
2024-08-08,Delhi,29.6,81.2,23.4,14.3,1.04,6.2,24.6,81.7,12.0,0.0,81,Satisfactory
2024-08-09,Delhi,39.4,79.5,16.0,13.1,1.04,9.8,24.9,74.0,9.4,21.9,80,Satisfactory
2024-08-10,Delhi,31.2,86.5,18.6,10.4,1.0,4.3,24.9,79.6,10.2,31.8,86,Satisfactory
2024-08-11,Delhi,47.2,39.7,25.8,14.0,0.76,4.9,23.1,82.7,9.3,25.9,79,Satisfactory
2024-08-12,Delhi,22.9,60.4,28.1,12.9,0.6,1.0,22.0,81.2,8.0,8.1,60,Satisfactory
2024-08-13,Delhi,55.4,112.3,20.2,11.7,0.81,10.6,26.8,78.3,8.9,17.4,108,Moderate
2024-08-14,Delhi,41.7,74.1,18.2,15.0,1.04,1.0,23.7,74.2,10.6,0.0,74,Satisfactory
2024-08-15,Delhi,33.4,61.0,24.9,13.8,0.85,6.7,24.1,71.3,8.6,0.0,61,Satisfactory
2024-08-16,Delhi,56.1,92.9,15.5,14.9,1.05,1.1,24.9,77.3,13.2,6.7,94,Satisfactory
2024-08-17,Delhi,44.5,78.7,21.6,11.7,0.94,12.0,24.6,83.6,10.3,3.7,79,Satisfactory
2024-08-18,Delhi,49.2,107.3,21.1,14.6,0.76,8.0,25.9,78.2,6.6,49.4,105,Moderate
2024-08-19,Delhi,35.0,37.9,29.4,15.8,0.67,11.9,26.2,79.4,8.9,10.5,58,Satisfactory
2024-08-20,Delhi,36.8,56.1,18.0,12.4,0.72,7.8,26.0,79.4,10.1,2.2,61,Satisfactory
2024-08-21,Delhi,43.8,81.7,20.1,14.9,0.86,1.8,25.9,81.3,12.5,3.3,82,Satisfactory
